"externalId","classificationOfInstructionalProgramCode","courseNumber","courseTitle","subjectAbbreviation","departmentExternalId","institutionExternalId","facilityExternalId","description"
"ENGL070  AF","","ENGL070  AF","Philosophies of rEVOLution","ZENG","ZENG","PZ","PZ","rEVOLution: Black Womenís Poetry, Song & theory in the 20th Century.
This course examines philosophies of love and revolution as represented by or given
meaning to in 20th C Black Womenís song, poetry, and theory. Materials explore
history, aesthetics, language, imagery and epistemology concerned with ideas
of ìloveî and ìrevolutionî as conceived by the authors and performers studies.
Students learn formal techniques of poetry, perform public poetry, do in-class
critical presentations and create an annotated bibliography out of their original
research. This is an upper division critical poetry study and introductory poetry
writing course in which emphasis is on both understanding philosophies of Black
cultural production and exploring poetry writing via black aesthetics. May be taken
as a creative writing elective, post-1865 American literature requirement, or Africana
Studies literature requirement. Prereq: An introduction to Africana Studies, ethnic,
gender, queer studies, or equivalent preferred."
"ENGL073  PO","","ENGL073  PO","The Literature of Gambling","PENG","PENG","PO","PO","Narratives of gambling-in which the arc of a life may seem to depend on a roll of the dice-in comparative perspective, with an emphasis on various concepts for thinking about an unknown future, including fate, divine intervention, luck, hazard, chance, speculation, risk, and accident. Some attention to recent scholarship linking the rise of the English novel-and of "probable" or likely stories-to the development of the mathematics of probability. Primary readings may include Plutarch, Herodotus, Rabelais, Cervantes, Pascal, Defoe, Pope, Boswell, Byron, Pushkin, Balzac, Tolstoy, Dostoevsky, George Eliot, Chekhov, David Mamet, Hunter S. Thompson, and Jonathan Lethem. We will discuss a few films as well. No prior experience in gambling or literary studies required. "
"ENGL074  PO","","ENGL074  PO","Rise of the Novel","PENG","PENG","PO","PO","The British novel from its beginnings in the prose narratives of the late 17th century to its form in the early 19th century. Readings from Defoe, Richardson, Fielding, Goldsmith, Sterne, Burney, Cleland, Radcliffe, Austen and others. (H3, GS)"
"ENGL074  PZ","","ENGL074  PZ","US Sports Literature","ZENG","ZENG","PZ","PZ","This class will examine sports writing in the US from
the early 20th Century through the contemporary moment. We will focus on the three major
league sports- baseball, football, and basketball- as well as other sports and athletic events
with a focus on the US and its relationship to global sports writing and contexts."
"ENGL075  PO","","ENGL075  PO","British Novel II","PENG","PENG","PO","PO","The British Novel II: Dickens to Conrad. Survey of the Victorian novel, with particular attention to class, gender and genre. Primary texts by such authors as Gaskell, Thackeray, Dickens, Trollope, the Brontes, Eliot, Collins, Braddon, Hardy, James, Stoker, Stevenson, Gissing and Conrad."
"ENGL075  PZ","","ENGL075  PZ","Contemp. Chicana/o Literature","ZENG","ZENG","PZ","PZ","This course will examine Chicana/o
literature in the post-Movimiento decades. In reading each work, we will consider its
literary aspects, such as genre and style; its historical, social, political, and cultural
contexts; and its relationship to other forms of cultural production and expression,
such as film and theater. Fall, M. Hidalgo.*"
"ENGL076  PZ","","ENGL076  PZ","Rhetoric of Desire","ZENG","ZENG","PZ","PZ","This introductory cultural studies course examines
cultural texts that deal with the ways in which desire is constructed,
manufactured, and consumed. It explores aspects of gender, race, sexuality, and
colonialism in the representation and rhetorical construction of desire in modern
texts. Spring, M. Hidalgo."
"ENGL077  PO","","ENGL077  PO","How Shakespeare Works","PENG","PENG","PO","PO","We know that Shakespeare's plays work. They function successfully as poetic and dramatic engines. We know something about how Shakespeare got there. This course, which is intended as an introduction to literary studies, is a project in reverse engineering. Given that Shakespeare's path to becoming Shakespeare is closed to us, this course asks: what are the other ways of getting there? Possible components  include: words, voices, platforms and publics. Requirements include active participation and written work. Letter grade only. "
"ENGL078  PO","","ENGL078  PO","Medieval Drugs","PENG","PENG","PO","PO","It has been proposed that the basis of prehistoric religion (and indeed the origin of human consciousness itself) is the encounter with other worlds that can be brought on by certain hallucinogenic plants. In this seminar we will examine how archaic "techniques of ecstasy" survived, more or less underground, into the European Middle Ages, as well as inquire more generally into the nature and status of inebriation, poisoning, and visionary trance states. To be considered: love potions in medieval romances; the relations between mystical experiences and plant-derived ecstasies; the use of hallucinogens (mandrake, belladonna, etc.) by "witches"; the history of medicine and alchemy; dream visions and astral travel; the pursuit of stupor. Authors may include: Chretien de Troyes, Hildegard of Bingen, B'roul, Julian of Norwich, Abu Nawas, Marie de France, Fernando de Rojas, Walter Benjamin, and the Popol Vuh."
"ENGL086  PO","","ENGL086  PO","Poetry Movements since the 1950s","PENG","PENG","PO","PO","Poetry Movements Since the 1950s. This course will be a survey of the major poetic movements in the last half-century. Poets will include Ashbery, OíHara, Ginsberg, Wright, Rich, Lorde, Creeley, Duncan and others. Letter grade only."
"ENGL087F PO","","ENGL087F PO","Writing: Theory/Process/Praxis","PENG","PENG","PO","PO","Theoretical grounding in the writing process, as well as in teaching and tutoring. Students will undertake a major research project, investigating some aspect of the writing process, writing in a particular discipline or tutoring writing. Full-credit."
"ENGL087H PO","","ENGL087H PO","Writing: Theory/Process/Praxis","PENG","PENG","PO","PO","Theoretical grounding in the writing process, as well as theoretical and practical application of teaching and tutoring pedagogies. Students will regularly critically reflect on course readings in writing, as well as lead class discussion. For students currently working with writers at any level. (E) Pass/No Credit only."
"ENGL088  PO","","ENGL088  PO","Poets in the 21st Century","PENG","PENG","PO","PO","Poets in the 21st Century. Explores the work of a number of contemporary poets by reading their work and engaging with criticism written by and about them."
"ENGL089A PO","","ENGL089A PO","American Modernism","PENG","PENG","PO","PO","This course will provide an introduction to some of the key works of American experimental literature published between 1900 and 1930. Authors may include T.S. Eliot, William Faulkner, Langston Hughes, Henry James, Marianne Moore, Ezra Pound, Gertrude Stein, Wallace Stevens, Jean Toomer, and William Carlos Williams. Letter grade only."
"ENGL089G PO","","ENGL089G PO","Disguise, Deception, and Drag","PENG","PENG","PO","PO",""
"ENGL089H PO","","ENGL089H PO","Spy Thrillers and Modern Times","PENG","PENG","PO","PO",""
"ENGL089J PO","","ENGL089J PO","Figures of Love and Friendship","PENG","PENG","PO","PO",""
"ENGL089K PO","","ENGL089K PO","The Genre of the Sentence","PENG","PENG","PO","PO",""
"ENGL089L PO","","ENGL089L PO","Creative Non-Fiction","PENG","PENG","PO","PO",""
"ENGL089P PO","","ENGL089P PO","Critiques of Sovereignty","PENG","PENG","PO","PO","Critiques of Sovereignty. Ms. Castillo. In considering questions of sovereignty, this course reflects on traditional philosophies about the rights of the individual, the prerogatives of the state, and justifications of violence. Readings in Hobbes, Locke, Rousseau, Hegel, Marx, Schmitt, Derrida, Foucault, Agamben, and others. Spring 2008 only."
"ENGL089Q PO","","ENGL089Q PO","Pre/Post Modern Novel","PENG","PENG","PO","PO","In this course we move back and forth between the 18th and 20th centuries in order to guage how texts are written and rewritten, one against another. Fiction and meta-fiction is our theme; our reading the headiest brew.  Our course begins at the beginning with Don Quixote--or rather, with a 1755 translation of Quixote by Tobias Smollett.  The history of the novel, it has been suggested, may be no more than one sustained rewriting of Quixote.  We focus next on whas been called "the Pamela media event."  Sterne's anticipation of 20th century formal innovations are worked through at midterm, and our reading of three paired authors--Defoe and Coetzee, Pope and Nabokov, Austen and a contemporary bestselling novelist--explores a field of possibilities.  Complications ensue.  Cervantes rewrites his own novel in the second part of Don Quixote.  Henry and Helen Fielding prove not brother and sister!  Colin Firth is cast as Darcy in both the BBC Pride and Prejudice and the big-screen adaptation of Bridget Jones.  Coetzee blends the postmodern and the postcolonial, revisiting Defoe and discussing decoys in his Nobel Prize lecture.  And Quixotic structures continue appearing long after we've put down Smollet's translation of Cervantes. Letter grade only. Offered alternate years."
"ENGL089R PO","","ENGL089R PO","The Art of the Novel","PENG","PENG","PO","PO","Part analytical seminar, part salon, part generative laboratory, this course is an alternative to the traditional writing workshop and a response to the creative writing student's need for reading courses geared toward writers.  Prerequisites: ENGL 64 or ENGL 67."
"ENGL090  PO","","ENGL090  PO","Medieval and Renaissance Lit.","PENG","PENG","PO","PO","The Pre-Modern for Postmoderns. The Middle Ages and Renaissance form the buried foundation to all later literary endeavor. This class frontloads a number of ideas and events that are important for understanding the discipline. Organized in segments, it will cover nationhood, authorship, literary fame, the evolution of genre, post-coloniality and climate change."
"ENGL090  PZ","","ENGL090  PZ","Alienation & Exile in Mod World","ZENG","ZENG","PZ","PZ","This course concentrates on 20th century texts that deal with the concepts of alienation and exile. We will read and discuss novels, essays, short stories, plays, and poetry from around the world with a focus on textual analysis. "
"ENGL091  PO","","ENGL091  PO","Englightnmnt,Romantic,Victrn Lit","PENG","PENG","PO","PO","Close study in historical context of selected works by such 18th- and 19th-century writers as Swift, Pope, Fielding, Johnson, Austen, Wordsworth, Keats, Bronte, Browning, Dickens, G. Eliot, Hardy and Yeats."
"ENGL091  PZ","","ENGL091  PZ","Cross Borders, Rites of Passage","ZENG","ZENG","PZ","PZ","Crossing Borders, Liminal Spaces, and Rites of Passage: This course studies
the literature of crossing borders, both physical and psychological, and times of
transition in 20th century world literature. Spring, J. Correia."
"ENGL092  PZ","","ENGL092  PZ","City as Character in Lit & Film","ZENG","ZENG","PZ","PZ","This course explores global cities through visual and literary depictions. We will consider how the visual and literary depictions inform, romanticize, and darken our perceptions of the present globalizing world.  "
"ENGL093  PO","","ENGL093  PO","Writing about Rock and Pop","PENG","PENG","PO","PO","Combining study and practice, we'll read some of rock's most popular and vital writers (Bangs, Marcus, Powers, Willis, Klosterman) and produce writing in a number of common genres of rock writing. Five graded assignments of varying lengths. Writing workshop format. Letter grade only. (E)"
"ENGL093  PZ","","ENGL093  PZ","World Lit in an Oceanic Context","ZENG","ZENG","PZ","PZ","A survey of world literature, this course will focus on fiction in the context of the worldís connected waterways will give us an alternative approach to the sustained continental focus on landmasses,states, and nations. How might rivers, not just as settings or metaphors, but also as analytics, help us to see the worldís geography and communities differently? What connections and histories are more
visible if we shift our geographical parameters to, say, the Horn of Africa or the Indian Ocean? Authors will include Amitav Ghosh, Caryl Phillips, Abdulrazak Gurnah, and Tayleb Salih, among others.
"
"ENGL094  PO","","ENGL094  PO","Pre-Contact to Civil War US Lit","PENG","PENG","PO","PO","This course provides an introduction to major themes in colonial, early American and pre-civil war American fiction, drama and poetry."
"ENGL094  PZ","","ENGL094  PZ","Growing Up "Postcolonial"","ZENG","ZENG","PZ","PZ","Growing Up "Postcolonial" 

This world literature course will survey global Anglophone fiction, with a focus on coming-of-age stories. We will study the genre of the bildungsroman (German for ìnovel of educationî or ìnovel of formationî) in postcolonial fiction, with attention to the ways the genre is adapted or modified, and we will assess the utility of child narrators to comment on socioeconomic conditions and historical events. We will analyze childhood as a historically-contingent category, and we consider the ways that postcolonial contextsóincluding economic, historical, cultural dimensionsóshape the development and integration of the individual protagonists of these ìformationî texts."
"ENGL096  PZ","","ENGL096  PZ","20th Century American Fiction","ZENG","ZENG","PZ","PZ",""
"ENGL099  PO","","ENGL099  PO","The Idea of the Renaissance","PENG","PENG","PO","PO","The term "Renaissance" is largely taken to identify a period of radical innovation in humanist arts and letters, one that begins with the rediscovery of old, lost, forgotten, and discarded things. Though the chronological borders of that period shift from region to region (i.e. Southern to Northern Europe), it is generally a given that the period of time it designates is now closed. But what if the Renaissance is best conceived, not as a historical period, but as a historical project?  What if the task of the reader is to understand the Renaissance as what Hans-George Gadamer called an  "unfinished event?" The Renaissance so conceived is an idea that we might revive, revise, or redirect. The scholarly mode that it solicits is participation. This course will harness the core insights and innovations of the English Renaissance in order to imagine alternatives to modernity, the present moment, and the imminent future. Topics may include: human, nonhuman, and quasi-human; utopia, dystopia, and worldmaking; the abundance of language; metamorphosis and transformation. Written work will draw largely on exercises of the Elizabethan schoolroom, including: commonplace books; imitations, emulations, and adaptations; exercises in impersonation; and two essays. We will focus on works by Renaissance poets including Francesco Petrarch, Edmund Spenser, and William Shakespeare but we will also reach backward to poets like Ovid, and forward to writers including Oscar Wilde, Franz Kafka, and Jorge Luis Borges."
"ENGL099  PZ","","ENGL099  PZ","20th Century English Literature","ZENG","ZENG","PZ","PZ",""
"ENGL100  PO","","ENGL100  PO","Lit/Cultures of US Imperialism","PENG","PENG","PO","PO","Literature & Cultures of U.S. Imperialism. Course addresses the history of U.S. imperialism through literature, historical readings and cultural theory. Emphasis on reading imperialism through the lens of critical gender studies and critical race theory. Covers lesser-known women writers such as Helen Hunt Jackson, Sitkala-Sam and Maria Amparo Ruiz de Burton as well as canonical novelists like Melville and Twain."
"ENGL100  PZ","","ENGL100  PZ","Modernity Globaliztn Urbanizatn","ZENG","ZENG","PZ","PZ","This class studies selected literary theory of the 20th century and the literature
on which it is based. Some theories we will explore will include: postcolonialism,
spatial studies and urbanization, trauma and confession, and modernism and
postmodernism."
"ENGL101  PZ","","ENGL101  PZ","Modern Cuban Literature and Film","ZENG","ZENG","PZ","PZ",""
"ENGL101  SC","","ENGL101  SC","Readings in British Literature","SENG","SENG","SC","SC","This course provides an introduction to British literature through in-depth readings of significant works from British literary history, with a particular focus on the centuries before the Restoration. We will read works written in very different styles, genres, and forms, by authors from a range of social and political backgrounds. The course will place special emphasis on close reading and on the craft of analytical writing. Readings may include Chaucer's Canterbury Tales, Shakespeare's Othello, Donne's Songs and Sonnets, Cavendish's Blazing World, and Milton's Paradise Lost."
"ENGL102  SC","","ENGL102  SC","Readings in American Literature","SENG","SENG","SC","SC","This course provides an introduction to American literature, with a focus on in-depth readings of significant works. Readings will be drawn from across American literary history, with particular attention to the nineteenth and early twentieth centuries. The course will place special emphasis on developing skills in close reading and literary analysis."
"ENGL103  PO","","ENGL103  PO","Literature of the Enlightenment","PENG","PENG","PO","PO","Literature of the Enlightenment. Reason and unreason, ethics and aesthetics, high minds and low bodies in poetry, drama and prose by such writers as Dryden, Locke, Rochester, Congreve, Pope, Swift, Fielding, Johnson, Boswell, Reynolds, Burke and Sheridan, with some attention to French authors such as Voltaire."
"ENGL103  PZ","","ENGL103  PZ","Afro-Futurism Black Sci-Fi","ZENG","ZENG","PZ","PZ","Of the 1969 moonwalk, George Clinton said that once man defied gravity,
all bets were off. The music mogul later went on to defy gravity by ìfunk-ifyingî the
world. Yet, his ideas are not without precedent in African American culture. In this
course, we will examine the aesthetic that came to be known as Afro-Futurism for
how it serves as an outlet for African American literary and artistic expression. We
will also explore how this artistic expression promulgates social critique including
(but not limited to) critiques of racism, technology, and history."
"ENGL104  PO","","ENGL104  PO","Romantic Literature","PENG","PENG","PO","PO","The major poets-Blake, Wordsworth, Coleridge, Byron, Shelley and Keats-with some attention to both fictional and nonfictional prose. "
"ENGL104  PZ","","ENGL104  PZ","Challenging Race in Black Lit","ZENG","ZENG","PZ","PZ","Black literary
history has demonstrated consistent concern with how race functions and what
it means. In this class, we will explore how black authors challenge the concept
of race. We will examine literature that challenges how race functions within and
outside of black communities."
"ENGL104  SC","23.0101","ENGL104  SC","Intro to Poetry & Poetics","SENG","SENG","SC","SC","This course will introduce students to a wide range of modern and contemporary poetry representing an array of national traditions, aesthetic movements, socio-cultural contexts, and literary histories. Particular attention will be paid to the relationship between form and content. No prior knowledge of literary study is assumed or required; students will develop the skills necessary to read and interpret many poetic forms. "
"ENGL105  PO","","ENGL105  PO","Food, Film, Literature","PENG","PENG","PO","PO","This class will consider food, eating, labor and ecology through the frame of film and literature, largely from the twentieth and twenty-first century. Environmental humanities, science fiction, feminist, critical race, food justice and other approaches will be foregrounded. Letter grade only."
"ENGL106  PO","","ENGL106  PO","19th-Century U.S. Women Writers","PENG","PENG","PO","PO","19th-Century U.S. Women Writers. Novels, anti- and pro-slavery tracts, domestic manuals and other forms of womenís writing during the 19th century. Special attention to critical and historical sources examining the role of women in the public spheres and spaces of the 19th century United States. Knowledge of literary, cultural or critical gender theory required."
"ENGL107  PO","","ENGL107  PO","William Blake","PENG","PENG","PO","PO","William Blake. Studies in Blakeís visionary poetry and painting, with special focus on ìilluminated booksî as both verbal and visual art."
"ENGL107  PZ","","ENGL107  PZ","Harlem & Sophiatown Renaissance","ZENG","ZENG","PZ","PZ",""
"ENGL108  PO","","ENGL108  PO","The Essay as Resistance","PENG","PENG","PO","PO",""I understood," writes Chris Marker of Sans Soleil, "that the whole film was a kind of exorcism for sixty years on this dubious planet...and a way to take leave of them." His film essay is an exorcism of the world, a bitter, critical farewellÖbut Sans Soleil is also about the world, a visually stunning celebration of that world: at once exorcism and homage; a leave-taking and a reverent, fine-grained representation. That is the tension inherent in the form of the essay, a global, politically and culturally rich non-fiction form in writing, photography, and film that both makes the world strange and holds it intimately close, a form that criticizes the world, and also loves it. If we are conditioned by our education to think of the essay as academic, five-paragraph, caught up in the power, conventions, and privileges of the academy and belles lettres, this course explores a different way of thinking, writing, photographing, filming. Since its inception in the sixteenth century, the essay-associative, digressive, fragmentary; filled with the presence of the author-has been defined and redefined as everything from a stay against fascism to the "writing on the walls of the prison-house of culture," a way of resisting the deadening status quo, a "matter of life and death." We will study the history of the essay as a form and write, photograph, and film our own essays in order to understand what the essay is, how it works, and what social and political force it might, and does, have. A course in both literature and visual anthropology (taught by faculty from English and Anthropology), we will be working across disciplines and media, thinking about the relationship between representation, authority, aesthetics, and writing, photography, and film.  Assignments will be both written and visual; you will learn to film, edit, and write for your own video or film essay. Possible authors/filmmakers (a partial list!) include James Baldwin, Gabriel Zaid, Virginia Woolf, Yi-yun Li, Teju Cole, Annie Dillard, Audre Lorde, Susan Sontag, Judith Butler, Arundhati Roy, J.M. Coetzee, Ta-Nehisi Coates, Chris Marker, Catherine Chung, Hollis Frampton, Aram Saroyan, T. Minh-Ha Trinh. (TH)"
"ENGL108  PZ","","ENGL108  PZ","Latino Literature","ZENG","ZENG","PZ","PZ",""
"ENGL109  PO","","ENGL109  PO","Intro to Performance Studies","PENG","PENG","PO","PO","In this class we study performance as an object and as an interpretive lens through which to study the practice of everyday life, as well as exceptional creative texts such as performance art, plays, protest and political speech. We will work through the interdisciplinary history of the field, including its emergence from the fields of theatre studies, anthropology, sociology, dance, gender studies, critical race and ethnic studies and queer studies.  "
"ENGL109  PZ","","ENGL109  PZ","Lit and Film of African Diaspora","ZENG","ZENG","PZ","PZ",""
"ENGL110  PZ","","ENGL110  PZ","The Novel on Screen","ZENG","ZENG","PZ","PZ","This class explores the intersections of film and literature to discover how the dialogue between the two media enhances our reading experience of the printed word while developing new kinds of visual literacy. The class will focus on a selection of canonical British novels from the post-1780 period that have been adapted for film. "
"ENGL111  PZ","","ENGL111  PZ","Love & Loss in Brit Lit 1750-Pr","ZENG","ZENG","PZ","PZ","This class explores the intertwined themes of love and loss in British literature from a mid 18th-C to the present. How do these texts link representations of loving and mourning, desire and suffering, sexuality and death to examine and critique ideas about gender relations, identities and different kinds of love?"
"ENGL111  SC","23.0101","ENGL111  SC","Shakespeare Comedies & Histories","SENG","SENG","SC","SC","This course sets histories from Shakespeare's two tetralogies alongside early and late comedies including The Taming of the Shrew and Measure for Measure, focusing on aspects of the plays that resist easy generic categorization. We will consider the complicated relationship between historical fact and historical drama, exploring the challenges and opportunities that Shakespeare faced in putting figures from the distant and the recent past on the early modern stage. In analyzing his range of comic modes, moreover, we will observe that farce and witty word-play go hand in hand with incisive social commentary that is often not very funny at all. "
"ENGL112  PO","","ENGL112  PO","Early Modern Romance","PENG","PENG","PO","PO","Early Modern Romance. Spanning prose, poetry, and drama of the early modern period, the genre of "romance" describes perplexing, digressive narratives that revolve around cross-dressing, incest, the return of the dead and the dissolution of the family. We will read from Philip Sidney's Arcadia, Edmund Spenser's Faerie Queene, Mary Wroth's Urania and Shakespeare's Pericles, Cymbeline and Winter's Tale. Letter grade only."
"ENGL112  PZ","","ENGL112  PZ","Rule Britannia: Imperial Vic Lit","ZENG","ZENG","PZ","PZ",""
"ENGL112  SC","","ENGL112  SC","Shakespeare:Tragedies & Romances","SENG","SENG","SC","SC","This course focuses on Shakespeare's four major tragedies and on the four plays now known as the "romances". We will consider the influence of both classical and early modern revenge tragedy on Shakespeare, exploring the issues of governance and inheritance that are at the heart of his most famous works. We will also attend to the complex motivations of the protagonists who give these plays their names. In turning to the romances, we will consider how style and subject matter (as well as chronology) mark these late plays: should we read them as tragedies gone wrong-or gone right?"
"ENGL113  PO","","ENGL113  PO","Race/Gendr/Pop Culture 1865-1917","PENG","PENG","PO","PO","Step Right Up: Race, Gender and Popular Culture 1865-1917. Looks at the explosion of popular culture from the end of the Civil War to World War II via primary texts (advertising, popular and canonical novels, magazines, etc.) and feminist and cultural theory. Examines the ways that U.S. demographics ñ Black, European immigrant, working class, female, male and adolescent ñ were shaped by the popular discourses and the period."
"ENGL113  PZ","","ENGL113  PZ","Vampires in Literature  & Film","ZENG","ZENG","PZ","PZ","Vampires have proven to be an enduring cross-cultural icon, a repository of our anxieties, fears, and desires. We will trail the vampire genre from its late 18th-Century British origins through the 19th century to the present. What can the vampire teach us about our selves and our others?       "
"ENGL114  PZ","","ENGL114  PZ","British Women Writers Pre-1900","ZENG","ZENG","PZ","PZ",""
"ENGL115  PO","","ENGL115  PO","On Form: Sonnets and Epigrams","PENG","PENG","PO","PO","Classical and Renaissance poetic theory distinguised between the short verse forms of sonnet and epigram by imagining how they tasted in your mouth: sonnets were a surfeit of sugar; salty epigrams made you purse your lips.  This class will read a wide range of sonnets and epigrams in the English Renaissance in order to ask: what kinds of knowledge do short verse forms produce and, what is the relation of this knowledge to the social and ethical lives of readers?  Reading the sonnet and epigram as dynamic expressions of desire and indignation, this class will double as a critical history of the value of "form" in post-war literary studies.  Readings will range from Cleanth Brooks to Bruno Latour and include important essays by Paul de Man, Terry Eagleton, Michel Foucault, Pierre Bourdieu as well as more recent experiments in historical formalism, strategic formalism, and new formalism.  Requirements include short response papers and a final essay (8-10) pages; all of our writing will be geared towards helping us think rigorously and precisely out loud as speakers. Letter grade only.(H2, TH)"
"ENGL115  SC","23.0101","ENGL115  SC","Milton","SENG","SENG","SC","SC","This course is an in-depth study of the poetry and major prose of John Milton. At the heart of the course is "Paradise Lost," the epic poem for which Milton is most famous and whose influence is perceptible across and beyond the Western literary canon. Alongside this we will consider Milton's early lyric and late dramatic poetry and the sources that shaped it, as well as examples of his polemical prose writing on subjects ranging from divorce to the freedom of the press. Our discussions will explore Milton's literary engagements with such issues as political tyranny, the status and rights of women, scientific innovation, human agency and ree will, and the role of petry itself in a rapidly changing world. Formerly ENGL121 SC.
"
"ENGL116  PO","","ENGL116  PO","Excess: Lit/Phil/Psychoanalysis","PENG","PENG","PO","PO","Interdisciplinary study of key "limit-texts," chiefly in the area of sexual extremity. Readings from Sade, Masoch, Freud, Deleuze, Kafka and others; films by Pasolini and Oshima."
"ENGL116  PZ","","ENGL116  PZ","Joyce, Woolf, and Faulkner","ZENG","ZENG","PZ","PZ",""
"ENGL116  SC","23.0101","ENGL116  SC","Early Modern Outsiders","SENG","SENG","SC","SC","This course focuses on those positioned-by accident or design-on the margins of early modern English literary culture We will read polemical literature that has an explicit agenda against particular individuals or groups alongside texts that engage in more complex ways with racial, religious, and sexual difference. By considering famous Shakespearean "others" such as Shylock and Othello alongside authors who themselves lived marginalized or precarious lives, we will explore how different literary genres could both provide a voice to the vulnerable and be used as a weapon against them."
"ENGL117  PO","","ENGL117  PO","Poststructuralism","PENG","PENG","PO","PO","Readings in Derrida, Lacan, Foucault, Kristeva, Irigaray, Deleuze, Barthes, Lyotard, de Man, et al. Some familiarity with continental philosophy or critical theory recommended."
"ENGL117  PZ","","ENGL117  PZ","Contemporary American Fiction","ZENG","ZENG","PZ","PZ",""
"ENGL118  PO","","ENGL118  PO","Nature of Narrative:Fiction,Film","PENG","PENG","PO","PO","The Nature of Narrative in Fictions and Films. Investigates narrative as a fundamental mode of understanding and organizing human experience. Practice of storytelling in writers like Calvino, Diderot, Kundera, Borges, Proust, Kafka, Dante, Sterne, Woolf and Sartre; and in filmmakers like Lynch, Hitchcock, Roeg, Malick and Allen. Theories of narrative from Aristotle through Freud to Barthes."
"ENGL118S SC","","ENGL118S SC","Rhyme and Reason in Renaissance","SENG","SENG","SC","SC","This course takes as its focus the growing centrality of literary writing (and specifically poetry) to social, political, and religious commentary in early modern England. We will read texts by authors including Francis Bacon, Margaret Cavendish, John Milton, and George Puttenham with reference to contemporaneous works produced in different geographical (primarily European) locations. Our discussions will consider the role of humanist philosophy and pedagogy in shaping how prominent authors of the period theorized literary writing, and will examine their attempts to use poetry sometimes in making polemical public arguments, and sometimes in retreating from such argumentation altogether. "
"ENGL120  PZ","","ENGL120  PZ","Studies in Drama: Greek Tragedy","ZENG","ZENG","PZ","PZ",""
"ENGL120  SC","23.0101","ENGL120  SC","Eighteenth-Century British Lit","SENG","SENG","SC","SC","The 18th century was a period of benevolent geniality and vicious satire, stern moralism and weepy sentimentality, the worship of reason, and the fear of madness. It saw the rise of the novel, the near death of the drama, and the stirrings of a new poetry. We shall investigate this age through a reading of major authors, including Pope, Swift, Fielding, Richardson, Sheridan, Johnson, and Austen. Formerly ENGL131.
"
"ENGL120A PO","","ENGL120A PO","19th Century American Literature","PENG","PENG","PO","PO","This class examines nineteenth-century American literature with an emphasis on the theme of passing. We will become well versed in depictions of cross-dressing (men who pass for women, and women who pass for men) and depictions of race passing (black folks who pass for white, white folks who pass for black). This course will highlight the history and significance of race and gender constructs in early American literature. We will read fiction, autobiography, short stories, and we will watch early cinema. TH; H4; RC/GS."
"ENGL121  PZ","","ENGL121  PZ","Studies in Poetry","ZENG","ZENG","PZ","PZ",""
"ENGL121  SC","23.0101","ENGL121  SC","The Satirical Imagination","SENG","SENG","SC","SC","Exploration of the long tradition of satire:  literature dedicated to exposing folly, hypocrisy, and human error, and to holding them up for ridicule.  Focus on the crucial era of English satire, the eighteenth century, especially Swift and Pope.  Consideration also of the history of satire, its forms in twentieth-century English fiction and contemporary popular culture, and its moral and political uses and implications. Formerly ENGL135.
"
"ENGL122  AF","","ENGL122  AF","Healing Narratives","PENG","PENG","PO","PO","Healing Narratives. This course examines how African Diaspora writers, filmmakers, and critical theorists respond to individual and collective trauma and how their works address questions of healing mind, body, and spirit.  We will take particular interest in Black feminist theory, the body as a construct of racial ideology, and the business of remedy."
"ENGL122  SC","23.0101","ENGL122  SC","Gothic Fiction","SENG","SENG","SC","SC","A study of the Gothic novel, a literature of extreme emotion that subverted the earlier 18th-century emphasis on reason and helped inaugurate the Romantic period. Readings include works by Horace Walpole, Ann Radcliffe, Matthew G. Lewis, Charles Robert Maturin, Mary Shelley, William Godwin, Emily Bronte, and Jane Austen. Formerly ENGL134.
"
"ENGL123  PO","","ENGL123  PO","Holocaust in Literature & Film","PENG","PENG","PO","PO","The Holocaust in Literature and Film. Close study of novels, poetry and film on the shoah. Secondary readings in historical and philosophical texts."
"ENGL123  PZ","","ENGL123  PZ","Satire in Literature and Film","ZENG","ZENG","PZ","PZ",""
"ENGL123  SC","23.0101","ENGL123  SC","Romantic Literature","SENG","SENG","SC","SC","The principal focus of this course will be on the relationship between Romanticism and both the Industrial and French Revolutions. We shall read the poetry, manifestoes and theoretical works of the major Romantic poets: Blake, Wordsworth, Coleridge, Byron, Shelley, and Keats.  We shall also read novels by Jane Austen and Mary Shelley, as well as prose by Edmund Burke, De Quincey, Hazlitt and William Godwin. Formerly ENGL145.
"
"ENGL124  AF","","ENGL124  AF","AfroFuturisms","PENG","PENG","PO","PO","AfroFuturisms. AfroFuturism articulates futuristic and Afro Punk cultural resistance and radical subversions of racism, sexism, liberal humanism, and (neo)colonialism. Such texts also recall that Africans were not only subjected to and forced to maintain the technologies of enslavement but were regarded as technology. AF engages music, visual arts, cyberculture, science, and philosophy."
"ENGL124  PZ","","ENGL124  PZ","The Bible and Homer","ZENG","ZENG","PZ","PZ",""
"ENGL125  PZ","","ENGL125  PZ","Literary Theory","ZENG","ZENG","PZ","PZ",""
